dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
maintenance_cleanup_expired_logs,airflow-sre,1,1,"'0 10 * * *'",86400.0,28,13.4,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-test-k8s,1,1,"'0 10 * * *'",86400.0,18,17.5,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-wmde,1,1,"'0 10 * * *'",86400.0,28,12.9,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-analytics-product,1,1,"'@weekly'",604800.0,1,28.2,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-analytics-test,1,1,"'@weekly'",604800.0,2,15.8,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-dev,1,1,"'@weekly'",604800.0,0,6.4,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-fr-tech,1,1,"'@weekly'",604800.0,1,17.3,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-main,1,1,"'@weekly'",604800.0,2,25.4,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-ml,1,1,"'@weekly'",604800.0,2,24.4,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-platform-eng,1,1,"'@weekly'",604800.0,2,19.5,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-research,1,1,"'@weekly'",604800.0,3,15.0,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-search,1,1,"'@weekly'",604800.0,2,18.9,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
maintenance_cleanup_expired_xcoms,airflow-sre,1,1,"'@weekly'",604800.0,2,15.1,,wmf_airflow_common/factories/xcom_cleaner_dag_factory.py:18
